Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.71347,  0.23549,  1.28362, -0.69667,  0.27407,  1.22952
2, -0.71278,  0.23891,  1.30742, -0.69543,  0.33333,  1.22992
3, -0.70909,  0.26621,  1.21682, -0.69409,  0.40000,  1.23021
4, -0.70896,  0.27986,  1.26721, -0.69318,  0.45185,  1.23040
5, -0.70737,  0.32765,  1.25923, -0.69179,  0.48889,  1.23064
6, -0.70608,  0.36860,  1.20184, -0.69052,  0.54074,  1.23110
7, -0.70452,  0.40956,  1.19046, -0.68906,  0.57778,  1.23158
8, -0.70415,  0.40614,  1.26591, -0.68805,  0.60000,  1.23195
9, -0.70529,  0.46758,  1.25185, -0.68656,  0.60000,  1.23241
10, -0.70300,  0.48805,  1.26609, -0.68553,  0.63704,  1.23275
11, -0.70137,  0.48805,  1.18727, -0.68456,  0.65926,  1.23292
12, -0.70077,  0.52560,  1.21354, -0.68385,  0.65926,  1.23304
13, -0.69549,  0.53242,  1.26863, -0.68304,  0.65185,  1.23318
14, -0.69978,  0.55973,  1.24316, -0.68239,  0.65185,  1.23336
15, -0.69962,  0.54266,  1.27175, -0.68147,  0.65926,  1.23355
16, -0.69966,  0.55290,  1.26165, -0.68085,  0.67407,  1.23372
17, -0.70047,  0.58362,  1.32417, -0.67994,  0.70370,  1.23391
18, -0.69694,  0.57338,  1.26915, -0.67928,  0.72593,  1.23405
19, -0.69272,  0.61433,  1.30050, -0.67829,  0.72593,  1.23429
20, -0.69646,  0.59386,  1.26473, -0.67743,  0.72593,  1.23449
21, -0.69401,  0.59044,  1.27814, -0.67739,  0.72593,  1.23457
22, -0.69433,  0.60751,  1.24557, -0.67673,  0.74074,  1.23468
23, -0.69510,  0.62799,  1.22817, -0.67627,  0.74074,  1.23477
24, -0.69357,  0.62799,  1.23790, -0.67597,  0.75556,  1.23492
25, -0.69270,  0.63140,  1.26944, -0.67568,  0.75556,  1.23505
26, -0.69206,  0.59386,  1.27973, -0.67488,  0.75556,  1.23515
27, -0.69445,  0.61433,  1.27154, -0.67466,  0.75556,  1.23524
28, -0.69040,  0.63823,  1.22973, -0.67435,  0.75556,  1.23529
29, -0.69135,  0.63823,  1.16661, -0.67367,  0.75556,  1.23536
30, -0.68903,  0.64164,  1.28014, -0.67315,  0.75556,  1.23549
31, -0.68979,  0.63481,  1.20474, -0.67309,  0.75556,  1.23554
32, -0.69019,  0.62457,  1.27793, -0.67259,  0.75556,  1.23559
33, -0.69041,  0.66212,  1.24529, -0.67259,  0.76296,  1.23563
34, -0.69297,  0.65870,  1.22828, -0.67251,  0.76296,  1.23566
35, -0.69272,  0.65529,  1.23886, -0.67211,  0.76296,  1.23569
36, -0.69084,  0.63140,  1.30689, -0.67184,  0.76296,  1.23574
37, -0.69069,  0.66212,  1.29374, -0.67143,  0.76296,  1.23576
38, -0.68992,  0.68259,  1.29408, -0.67145,  0.76296,  1.23582
39, -0.68949,  0.67918,  1.26057, -0.67084,  0.76296,  1.23587
40, -0.68815,  0.68259,  1.35334, -0.67087,  0.76296,  1.23592
41, -0.68963,  0.64505,  1.21843, -0.67074,  0.76296,  1.23594
42, -0.69035,  0.67918,  1.20683, -0.67065,  0.76296,  1.23597
43, -0.68885,  0.66553,  1.24840, -0.67066,  0.76296,  1.23599
44, -0.68963,  0.65188,  1.32296, -0.67071,  0.76296,  1.23601
45, -0.69059,  0.63823,  1.22283, -0.67038,  0.76296,  1.23604
46, -0.69152,  0.68601,  1.28375, -0.67029,  0.76296,  1.23605
47, -0.68779,  0.67235,  1.28416, -0.67016,  0.76296,  1.23608
48, -0.68842,  0.64846,  1.27048, -0.66994,  0.76296,  1.23609
49, -0.68777,  0.67577,  1.24732, -0.66974,  0.76296,  1.23612
50, -0.68904,  0.66212,  1.18806, -0.66978,  0.76296,  1.23613

Mean validation ll: -0.67794, Mean validation accuracy:  0.68963, Mean validation RMSE:  1.23430
