Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.73828,  0.52901,  1.22791, -0.73852,  0.58519,  1.22846
2, -0.73492,  0.50512,  1.25217, -0.73480,  0.60741,  1.22774
3, -0.73616,  0.60068,  1.26956, -0.73102,  0.65185,  1.22658
4, -0.72974,  0.59727,  1.23869, -0.72710,  0.66667,  1.22559
5, -0.72875,  0.62799,  1.29711, -0.72365,  0.67407,  1.22411
6, -0.72370,  0.65870,  1.27240, -0.71966,  0.70370,  1.22261
7, -0.72427,  0.64846,  1.28738, -0.71565,  0.70370,  1.22087
8, -0.72054,  0.67235,  1.25224, -0.71194,  0.72593,  1.21915
9, -0.71753,  0.65870,  1.29668, -0.70805,  0.74074,  1.21751
10, -0.71086,  0.69966,  1.25597, -0.70425,  0.74074,  1.21557
11, -0.71347,  0.70648,  1.22521, -0.70226,  0.76296,  1.21466
12, -0.71029,  0.71331,  1.27945, -0.70025,  0.76296,  1.21390
13, -0.71111,  0.69625,  1.28203, -0.69788,  0.76296,  1.21281
14, -0.70700,  0.68942,  1.25876, -0.69620,  0.76296,  1.21197
15, -0.70604,  0.71672,  1.26343, -0.69430,  0.77037,  1.21093
16, -0.70513,  0.70307,  1.23667, -0.69217,  0.77037,  1.21028
17, -0.70544,  0.71331,  1.25538, -0.69031,  0.77778,  1.20967
18, -0.70516,  0.72014,  1.26679, -0.68825,  0.77778,  1.20890
19, -0.70215,  0.71331,  1.23669, -0.68614,  0.77778,  1.20820
20, -0.69876,  0.72014,  1.29618, -0.68416,  0.77778,  1.20753
21, -0.70025,  0.72355,  1.24022, -0.68307,  0.77778,  1.20711
22, -0.69911,  0.72355,  1.26505, -0.68228,  0.77778,  1.20670
23, -0.70303,  0.70648,  1.26952, -0.68124,  0.77778,  1.20620
24, -0.69573,  0.70990,  1.26114, -0.68016,  0.77778,  1.20580
25, -0.69754,  0.72014,  1.24865, -0.67921,  0.77778,  1.20537
26, -0.69601,  0.70648,  1.18701, -0.67828,  0.77778,  1.20495
27, -0.69477,  0.71672,  1.25226, -0.67721,  0.77778,  1.20468
28, -0.69475,  0.72014,  1.24096, -0.67600,  0.77778,  1.20443
29, -0.69367,  0.70648,  1.24592, -0.67510,  0.77778,  1.20412
30, -0.69091,  0.70648,  1.30201, -0.67432,  0.77778,  1.20379
31, -0.69346,  0.70990,  1.30934, -0.67348,  0.77778,  1.20364
32, -0.69345,  0.70990,  1.24016, -0.67301,  0.77778,  1.20344
33, -0.68893,  0.71672,  1.24345, -0.67257,  0.77778,  1.20330
34, -0.69448,  0.71672,  1.27075, -0.67213,  0.77778,  1.20311
35, -0.69258,  0.71672,  1.26868, -0.67162,  0.77778,  1.20296
36, -0.69132,  0.71672,  1.26157, -0.67113,  0.77778,  1.20285
37, -0.69052,  0.71672,  1.27200, -0.67057,  0.77778,  1.20272
38, -0.69260,  0.72696,  1.27893, -0.67014,  0.77778,  1.20256
39, -0.68849,  0.71672,  1.29675, -0.66942,  0.77778,  1.20243
40, -0.68892,  0.72355,  1.26141, -0.66915,  0.77778,  1.20230
41, -0.68842,  0.72014,  1.29589, -0.66874,  0.77778,  1.20223
42, -0.68707,  0.72014,  1.24208, -0.66847,  0.77778,  1.20217
43, -0.68993,  0.71672,  1.29785, -0.66808,  0.77778,  1.20211
44, -0.68816,  0.72696,  1.29538, -0.66789,  0.77778,  1.20203
45, -0.68811,  0.71331,  1.22334, -0.66739,  0.77778,  1.20195
46, -0.68945,  0.72014,  1.23744, -0.66762,  0.77778,  1.20187
47, -0.68907,  0.71672,  1.22275, -0.66739,  0.77778,  1.20179
48, -0.68517,  0.72014,  1.22925, -0.66705,  0.77778,  1.20171
49, -0.68947,  0.71331,  1.20753, -0.66661,  0.77778,  1.20165
50, -0.68765,  0.72355,  1.24444, -0.66647,  0.77778,  1.20158

Mean validation ll: -0.68645, Mean validation accuracy:  0.75674, Mean validation RMSE:  1.20877
