Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.74833,  0.38225,  1.34236, -0.73837,  0.53333,  1.29886
2, -0.74939,  0.40273,  1.32413, -0.73549,  0.52593,  1.29820
3, -0.74668,  0.47440,  1.32937, -0.73216,  0.57778,  1.29786
4, -0.74700,  0.53584,  1.33190, -0.72914,  0.62222,  1.29708
5, -0.74783,  0.52560,  1.36333, -0.72568,  0.67407,  1.29661
6, -0.74088,  0.51536,  1.34963, -0.72233,  0.68889,  1.29607
7, -0.74055,  0.59386,  1.35747, -0.71909,  0.71852,  1.29562
8, -0.73365,  0.58020,  1.34201, -0.71572,  0.72593,  1.29500
9, -0.73242,  0.58703,  1.36837, -0.71189,  0.72593,  1.29431
10, -0.73216,  0.61092,  1.34197, -0.70808,  0.73333,  1.29389
11, -0.72844,  0.63823,  1.35743, -0.70644,  0.74074,  1.29372
12, -0.72693,  0.65870,  1.34613, -0.70401,  0.74074,  1.29348
13, -0.72289,  0.64505,  1.30632, -0.70263,  0.74074,  1.29321
14, -0.72637,  0.64164,  1.31718, -0.70031,  0.74074,  1.29295
15, -0.72327,  0.66894,  1.28210, -0.69833,  0.75556,  1.29244
16, -0.72128,  0.65529,  1.35346, -0.69658,  0.75556,  1.29204
17, -0.71599,  0.68601,  1.35357, -0.69428,  0.76296,  1.29177
18, -0.71965,  0.67577,  1.36714, -0.69203,  0.76296,  1.29143
19, -0.71693,  0.67577,  1.32355, -0.68975,  0.77778,  1.29100
20, -0.71663,  0.67577,  1.30837, -0.68793,  0.77778,  1.29045
21, -0.71215,  0.65870,  1.32371, -0.68672,  0.77778,  1.29015
22, -0.71361,  0.66212,  1.32284, -0.68563,  0.77778,  1.28989
23, -0.70922,  0.69283,  1.35459, -0.68498,  0.78519,  1.28959
24, -0.71202,  0.68259,  1.31169, -0.68370,  0.78519,  1.28937
25, -0.70845,  0.70307,  1.31914, -0.68278,  0.78519,  1.28904
26, -0.71093,  0.67577,  1.33081, -0.68138,  0.78519,  1.28881
27, -0.70599,  0.71672,  1.29078, -0.68053,  0.78519,  1.28850
28, -0.70695,  0.68259,  1.36096, -0.67922,  0.78519,  1.28825
29, -0.70589,  0.69283,  1.35478, -0.67823,  0.78519,  1.28802
30, -0.70644,  0.66894,  1.30435, -0.67735,  0.78519,  1.28772
31, -0.70457,  0.68942,  1.34217, -0.67671,  0.78519,  1.28762
32, -0.70248,  0.70990,  1.30866, -0.67607,  0.78519,  1.28749
33, -0.70284,  0.67918,  1.30240, -0.67540,  0.78519,  1.28735
34, -0.70129,  0.68259,  1.31359, -0.67491,  0.78519,  1.28722
35, -0.70400,  0.70990,  1.32323, -0.67444,  0.78519,  1.28709
36, -0.70536,  0.70990,  1.35014, -0.67392,  0.78519,  1.28693
37, -0.70757,  0.68259,  1.33975, -0.67353,  0.78519,  1.28681
38, -0.70350,  0.70648,  1.31665, -0.67285,  0.78519,  1.28667
39, -0.70062,  0.68601,  1.28483, -0.67228,  0.78519,  1.28645
40, -0.70286,  0.67235,  1.31389, -0.67176,  0.78519,  1.28630
41, -0.69895,  0.69625,  1.33373, -0.67156,  0.78519,  1.28621
42, -0.70182,  0.68942,  1.33774, -0.67101,  0.78519,  1.28614
43, -0.70830,  0.70307,  1.30398, -0.67082,  0.78519,  1.28608
44, -0.70068,  0.68601,  1.32387, -0.67045,  0.78519,  1.28602
45, -0.70235,  0.70990,  1.28782, -0.67031,  0.78519,  1.28596
46, -0.69854,  0.69966,  1.32246, -0.67015,  0.78519,  1.28588
47, -0.69562,  0.70648,  1.30411, -0.66970,  0.78519,  1.28581
48, -0.70124,  0.69625,  1.27987, -0.66941,  0.78519,  1.28571
49, -0.69903,  0.70990,  1.34795, -0.66933,  0.78519,  1.28564
50, -0.69801,  0.71331,  1.33548, -0.66888,  0.78519,  1.28558

Mean validation ll: -0.68948, Mean validation accuracy:  0.75244, Mean validation RMSE:  1.29009
