Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.73217,  0.55973,  1.25019, -0.70542,  0.65926,  1.29591
2, -0.72365,  0.59044,  1.28375, -0.70064,  0.67407,  1.29622
3, -0.72743,  0.63823,  1.28816, -0.69596,  0.68889,  1.29649
4, -0.72253,  0.63823,  1.27758, -0.69132,  0.72593,  1.29643
5, -0.71653,  0.63823,  1.32962, -0.68613,  0.72593,  1.29622
6, -0.71960,  0.63823,  1.32494, -0.68152,  0.72593,  1.29578
7, -0.71346,  0.65188,  1.30583, -0.67667,  0.72593,  1.29567
8, -0.70693,  0.68601,  1.33466, -0.67266,  0.72593,  1.29501
9, -0.70261,  0.65529,  1.27969, -0.66822,  0.76296,  1.29424
10, -0.70185,  0.68259,  1.27789, -0.66422,  0.76296,  1.29325
11, -0.69855,  0.66894,  1.33654, -0.66208,  0.76296,  1.29292
12, -0.69563,  0.67577,  1.28609, -0.65951,  0.76296,  1.29249
13, -0.69670,  0.68942,  1.30470, -0.65750,  0.76296,  1.29214
14, -0.69556,  0.69625,  1.28596, -0.65562,  0.76296,  1.29184
15, -0.69340,  0.68601,  1.26754, -0.65316,  0.76296,  1.29141
16, -0.69205,  0.71331,  1.34410, -0.65118,  0.76296,  1.29126
17, -0.69151,  0.68601,  1.28578, -0.64921,  0.77037,  1.29107
18, -0.68917,  0.69625,  1.33575, -0.64709,  0.77037,  1.29077
19, -0.68727,  0.71331,  1.30045, -0.64499,  0.78519,  1.29039
20, -0.68277,  0.70307,  1.33306, -0.64278,  0.78519,  1.28993
21, -0.67892,  0.70990,  1.33010, -0.64201,  0.78519,  1.28973
22, -0.68279,  0.72696,  1.30532, -0.64083,  0.78519,  1.28950
23, -0.68209,  0.71672,  1.34272, -0.63968,  0.78519,  1.28932
24, -0.67668,  0.72014,  1.32431, -0.63870,  0.78519,  1.28910
25, -0.68265,  0.71672,  1.27154, -0.63730,  0.78519,  1.28879
26, -0.67959,  0.70990,  1.32090, -0.63653,  0.78519,  1.28858
27, -0.67622,  0.69966,  1.31071, -0.63561,  0.78519,  1.28824
28, -0.68094,  0.71331,  1.30609, -0.63483,  0.78519,  1.28803
29, -0.67366,  0.72355,  1.26236, -0.63381,  0.78519,  1.28786
30, -0.67566,  0.71331,  1.28746, -0.63271,  0.78519,  1.28759
31, -0.67332,  0.71672,  1.28268, -0.63215,  0.78519,  1.28750
32, -0.67403,  0.72014,  1.28809, -0.63148,  0.78519,  1.28737
33, -0.67378,  0.71331,  1.27062, -0.63117,  0.78519,  1.28725
34, -0.67508,  0.70648,  1.32910, -0.63047,  0.78519,  1.28715
35, -0.67210,  0.72014,  1.29818, -0.62998,  0.78519,  1.28703
36, -0.67419,  0.71331,  1.28301, -0.62963,  0.78519,  1.28689
37, -0.67185,  0.71672,  1.29706, -0.62889,  0.78519,  1.28677
38, -0.67629,  0.72355,  1.29047, -0.62872,  0.78519,  1.28663
39, -0.66559,  0.70307,  1.29416, -0.62791,  0.78519,  1.28650
40, -0.66836,  0.70990,  1.32441, -0.62748,  0.78519,  1.28644
41, -0.67381,  0.71672,  1.31564, -0.62710,  0.78519,  1.28637
42, -0.66849,  0.72014,  1.30379, -0.62709,  0.78519,  1.28632
43, -0.67048,  0.72014,  1.33034, -0.62691,  0.78519,  1.28626
44, -0.67277,  0.72696,  1.26580, -0.62678,  0.78519,  1.28623
45, -0.66997,  0.70990,  1.32212, -0.62638,  0.78519,  1.28617
46, -0.66802,  0.70990,  1.25591, -0.62619,  0.78519,  1.28611
47, -0.66900,  0.69625,  1.30436, -0.62577,  0.78519,  1.28605
48, -0.66677,  0.72014,  1.29149, -0.62562,  0.78519,  1.28600
49, -0.66615,  0.71672,  1.29421, -0.62524,  0.78519,  1.28595
50, -0.67041,  0.70990,  1.23348, -0.62523,  0.78519,  1.28589

Mean validation ll: -0.64596, Mean validation accuracy:  0.76844, Mean validation RMSE:  1.28974
