Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.70356,  0.38225,  1.32084, -0.67932,  0.44444,  1.27006
2, -0.69795,  0.42662,  1.29854, -0.67639,  0.43704,  1.27043
3, -0.69493,  0.43686,  1.31590, -0.67383,  0.48148,  1.27098
4, -0.69550,  0.50853,  1.28020, -0.67077,  0.52593,  1.27113
5, -0.69180,  0.47782,  1.35195, -0.66795,  0.54074,  1.27107
6, -0.68891,  0.50171,  1.27759, -0.66565,  0.55556,  1.27099
7, -0.69098,  0.58703,  1.32767, -0.66289,  0.59259,  1.27082
8, -0.68692,  0.58362,  1.25190, -0.65995,  0.61481,  1.27033
9, -0.68256,  0.61775,  1.25894, -0.65723,  0.66667,  1.26978
10, -0.68400,  0.63823,  1.25204, -0.65456,  0.71111,  1.26937
11, -0.67802,  0.62457,  1.32068, -0.65280,  0.72593,  1.26913
12, -0.67787,  0.63140,  1.28178, -0.65161,  0.72593,  1.26890
13, -0.67760,  0.66212,  1.28805, -0.65038,  0.73333,  1.26871
14, -0.67549,  0.64164,  1.30804, -0.64885,  0.74074,  1.26843
15, -0.67811,  0.65188,  1.23167, -0.64749,  0.73333,  1.26812
16, -0.67842,  0.65188,  1.30931, -0.64595,  0.73333,  1.26768
17, -0.67391,  0.64505,  1.24692, -0.64430,  0.73333,  1.26749
18, -0.66931,  0.67918,  1.34196, -0.64256,  0.74074,  1.26732
19, -0.67005,  0.67918,  1.31436, -0.64116,  0.74074,  1.26702
20, -0.67211,  0.68942,  1.28213, -0.63932,  0.74074,  1.26683
21, -0.67100,  0.67577,  1.29285, -0.63893,  0.74074,  1.26668
22, -0.66539,  0.69283,  1.30082, -0.63783,  0.74074,  1.26652
23, -0.66928,  0.69283,  1.31149, -0.63711,  0.74815,  1.26633
24, -0.66835,  0.69966,  1.32645, -0.63643,  0.74815,  1.26613
25, -0.66465,  0.70307,  1.30878, -0.63566,  0.74815,  1.26592
26, -0.66678,  0.68942,  1.33073, -0.63465,  0.74815,  1.26568
27, -0.66235,  0.69625,  1.34565, -0.63421,  0.74815,  1.26553
28, -0.66520,  0.68259,  1.28248, -0.63296,  0.74815,  1.26536
29, -0.66240,  0.67235,  1.28468, -0.63225,  0.75556,  1.26513
30, -0.66429,  0.71331,  1.29726, -0.63150,  0.75556,  1.26491
31, -0.66250,  0.69625,  1.33666, -0.63107,  0.75556,  1.26482
32, -0.66326,  0.69283,  1.30436, -0.63044,  0.75556,  1.26473
33, -0.66267,  0.69966,  1.34609, -0.63026,  0.75556,  1.26461
34, -0.66257,  0.70307,  1.30544, -0.62993,  0.75556,  1.26454
35, -0.66208,  0.70648,  1.28219, -0.62922,  0.75556,  1.26445
36, -0.66217,  0.70307,  1.31091, -0.62920,  0.75556,  1.26436
37, -0.65902,  0.69283,  1.33520, -0.62884,  0.75556,  1.26426
38, -0.65920,  0.70307,  1.32723, -0.62808,  0.75556,  1.26418
39, -0.66168,  0.70648,  1.28000, -0.62785,  0.75556,  1.26404
40, -0.66299,  0.70648,  1.33424, -0.62744,  0.75556,  1.26391
41, -0.65976,  0.68942,  1.32615, -0.62706,  0.75556,  1.26387
42, -0.65987,  0.69283,  1.28427, -0.62681,  0.75556,  1.26382
43, -0.65716,  0.70990,  1.34543, -0.62662,  0.75556,  1.26376
44, -0.65647,  0.72014,  1.31446, -0.62617,  0.75556,  1.26371
45, -0.66130,  0.70307,  1.26936, -0.62635,  0.75556,  1.26366
46, -0.65578,  0.71672,  1.31575, -0.62598,  0.75556,  1.26360
47, -0.65765,  0.70307,  1.32616, -0.62589,  0.75556,  1.26355
48, -0.65913,  0.68259,  1.26927, -0.62557,  0.75556,  1.26350
49, -0.65405,  0.70648,  1.29772, -0.62516,  0.75556,  1.26345
50, -0.65818,  0.69283,  1.21828, -0.62507,  0.75556,  1.26341

Mean validation ll: -0.64075, Mean validation accuracy:  0.71022, Mean validation RMSE:  1.26646
