Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.72930,  0.13311,  1.31293, -0.70564,  0.10370,  1.26540
2, -0.72460,  0.18771,  1.30392, -0.70180,  0.13333,  1.26400
3, -0.71826,  0.18430,  1.30151, -0.69831,  0.15556,  1.26299
4, -0.71625,  0.23208,  1.30087, -0.69481,  0.17778,  1.26185
5, -0.71206,  0.25597,  1.27209, -0.69122,  0.19259,  1.26118
6, -0.70832,  0.27986,  1.30136, -0.68793,  0.22963,  1.26108
7, -0.71117,  0.33788,  1.31431, -0.68453,  0.25185,  1.26086
8, -0.70767,  0.41638,  1.29575, -0.68113,  0.37778,  1.26104
9, -0.70293,  0.40614,  1.31583, -0.67731,  0.45926,  1.26066
10, -0.70279,  0.44369,  1.25263, -0.67412,  0.51111,  1.26038
11, -0.69693,  0.45734,  1.32598, -0.67242,  0.54074,  1.26022
12, -0.70326,  0.49147,  1.33419, -0.67064,  0.56296,  1.26031
13, -0.70146,  0.49147,  1.32351, -0.66929,  0.56296,  1.26041
14, -0.69821,  0.52218,  1.29948, -0.66777,  0.58519,  1.26026
15, -0.69544,  0.50853,  1.31078, -0.66591,  0.62963,  1.26013
16, -0.69083,  0.55973,  1.28578, -0.66432,  0.66667,  1.26008
17, -0.69317,  0.52901,  1.30893, -0.66271,  0.66667,  1.26009
18, -0.69235,  0.54266,  1.31230, -0.66119,  0.67407,  1.26013
19, -0.68847,  0.57338,  1.29899, -0.65945,  0.68148,  1.26011
20, -0.69028,  0.64846,  1.33772, -0.65792,  0.68889,  1.26017
21, -0.68894,  0.60751,  1.33229, -0.65715,  0.68889,  1.26024
22, -0.68833,  0.60068,  1.30521, -0.65622,  0.68889,  1.26030
23, -0.68526,  0.64505,  1.27950, -0.65545,  0.69630,  1.26026
24, -0.68848,  0.58020,  1.26831, -0.65460,  0.69630,  1.26033
25, -0.68487,  0.63481,  1.33708, -0.65387,  0.70370,  1.26035
26, -0.68450,  0.63481,  1.32749, -0.65323,  0.70370,  1.26024
27, -0.68217,  0.63140,  1.30842, -0.65210,  0.71852,  1.26027
28, -0.68149,  0.64505,  1.29655, -0.65138,  0.71852,  1.26025
29, -0.68482,  0.63140,  1.25487, -0.65086,  0.71852,  1.26022
30, -0.68123,  0.64164,  1.29672, -0.65010,  0.72593,  1.26014
31, -0.68473,  0.62116,  1.33372, -0.64969,  0.74074,  1.26015
32, -0.68308,  0.62116,  1.32679, -0.64941,  0.74074,  1.26015
33, -0.68071,  0.67235,  1.31285, -0.64881,  0.74074,  1.26012
34, -0.68248,  0.61775,  1.34016, -0.64865,  0.74074,  1.26011
35, -0.68030,  0.62116,  1.27450, -0.64815,  0.74815,  1.26009
36, -0.68144,  0.63481,  1.29548, -0.64771,  0.75556,  1.26012
37, -0.67863,  0.65870,  1.26257, -0.64733,  0.75556,  1.26011
38, -0.67547,  0.67235,  1.31105, -0.64699,  0.75556,  1.26012
39, -0.67721,  0.63823,  1.30240, -0.64679,  0.75556,  1.26012
40, -0.67949,  0.63823,  1.33243, -0.64634,  0.76296,  1.26012
41, -0.67950,  0.65870,  1.31255, -0.64605,  0.76296,  1.26011
42, -0.67751,  0.64505,  1.34289, -0.64576,  0.76296,  1.26012
43, -0.68053,  0.64164,  1.31657, -0.64567,  0.76296,  1.26013
44, -0.68087,  0.66212,  1.33159, -0.64539,  0.76296,  1.26014
45, -0.68165,  0.63140,  1.30967, -0.64517,  0.76296,  1.26014
46, -0.67902,  0.66894,  1.32027, -0.64500,  0.77037,  1.26013
47, -0.67803,  0.62457,  1.31837, -0.64479,  0.77037,  1.26012
48, -0.67888,  0.65188,  1.32954, -0.64483,  0.77037,  1.26014
49, -0.67808,  0.65188,  1.28571, -0.64481,  0.77778,  1.26014
50, -0.67392,  0.66553,  1.31308, -0.64432,  0.77778,  1.26012

Mean validation ll: -0.66030, Mean validation accuracy:  0.62178, Mean validation RMSE:  1.26053
