Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.73647,  0.33447,  1.23569, -0.71931,  0.39259,  1.23490
2, -0.73431,  0.35495,  1.29165, -0.71607,  0.45185,  1.23435
3, -0.73259,  0.45051,  1.30044, -0.71247,  0.52593,  1.23422
4, -0.72914,  0.47782,  1.29241, -0.70886,  0.59259,  1.23436
5, -0.72536,  0.49147,  1.26960, -0.70548,  0.62963,  1.23462
6, -0.72462,  0.51536,  1.27419, -0.70207,  0.68889,  1.23456
7, -0.72118,  0.60410,  1.29342, -0.69827,  0.68148,  1.23437
8, -0.72037,  0.61775,  1.30536, -0.69499,  0.71852,  1.23487
9, -0.71615,  0.63140,  1.29122, -0.69153,  0.73333,  1.23449
10, -0.71688,  0.64505,  1.31508, -0.68750,  0.74815,  1.23434
11, -0.71251,  0.64505,  1.25854, -0.68564,  0.76296,  1.23402
12, -0.70754,  0.64846,  1.26549, -0.68375,  0.77037,  1.23382
13, -0.70605,  0.66553,  1.25809, -0.68165,  0.77037,  1.23338
14, -0.70651,  0.68942,  1.25323, -0.67950,  0.77037,  1.23313
15, -0.70580,  0.67235,  1.22809, -0.67786,  0.77037,  1.23293
16, -0.70336,  0.66212,  1.25363, -0.67594,  0.77778,  1.23250
17, -0.70232,  0.66212,  1.27654, -0.67399,  0.77778,  1.23241
18, -0.69880,  0.68259,  1.23268, -0.67213,  0.77778,  1.23231
19, -0.70293,  0.70307,  1.32094, -0.67029,  0.77778,  1.23190
20, -0.69770,  0.69625,  1.28214, -0.66832,  0.77778,  1.23167
21, -0.69772,  0.69283,  1.26185, -0.66705,  0.77778,  1.23157
22, -0.69481,  0.67577,  1.29047, -0.66631,  0.77778,  1.23140
23, -0.69682,  0.67918,  1.25113, -0.66531,  0.78519,  1.23132
24, -0.69332,  0.68259,  1.27233, -0.66416,  0.78519,  1.23118
25, -0.69342,  0.68942,  1.25919, -0.66319,  0.78519,  1.23103
26, -0.69320,  0.69283,  1.30200, -0.66253,  0.78519,  1.23091
27, -0.69044,  0.71331,  1.32011, -0.66140,  0.78519,  1.23077
28, -0.69296,  0.68601,  1.29398, -0.66018,  0.78519,  1.23069
29, -0.69102,  0.70648,  1.26412, -0.65935,  0.78519,  1.23065
30, -0.69018,  0.69625,  1.26904, -0.65856,  0.78519,  1.23054
31, -0.69115,  0.70307,  1.29669, -0.65772,  0.78519,  1.23043
32, -0.68747,  0.70648,  1.28770, -0.65731,  0.78519,  1.23040
33, -0.68884,  0.69625,  1.26280, -0.65711,  0.78519,  1.23033
34, -0.68915,  0.70990,  1.21793, -0.65664,  0.78519,  1.23025
35, -0.68574,  0.69283,  1.32094, -0.65611,  0.78519,  1.23020
36, -0.68756,  0.70307,  1.33304, -0.65549,  0.78519,  1.23014
37, -0.68712,  0.70307,  1.23488, -0.65487,  0.78519,  1.23011
38, -0.68786,  0.70307,  1.29454, -0.65464,  0.78519,  1.23005
39, -0.68446,  0.70307,  1.26937, -0.65435,  0.78519,  1.23002
40, -0.68688,  0.69283,  1.25831, -0.65355,  0.78519,  1.22994
41, -0.68688,  0.71672,  1.30617, -0.65337,  0.78519,  1.22992
42, -0.68418,  0.70307,  1.26117, -0.65299,  0.78519,  1.22987
43, -0.68810,  0.72014,  1.27145, -0.65305,  0.78519,  1.22983
44, -0.68574,  0.69283,  1.28562, -0.65258,  0.78519,  1.22980
45, -0.68742,  0.70648,  1.29638, -0.65232,  0.78519,  1.22978
46, -0.68482,  0.71672,  1.25293, -0.65213,  0.78519,  1.22974
47, -0.68547,  0.71672,  1.23899, -0.65192,  0.78519,  1.22971
48, -0.68427,  0.72014,  1.27353, -0.65155,  0.78519,  1.22968
49, -0.68672,  0.70307,  1.27515, -0.65159,  0.78519,  1.22964
50, -0.68311,  0.70648,  1.30704, -0.65093,  0.78519,  1.22962

Mean validation ll: -0.67028, Mean validation accuracy:  0.74874, Mean validation RMSE:  1.23165
