Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.72886,  0.24915,  1.23409, -0.70075,  0.29630,  1.21532
2, -0.72262,  0.30034,  1.24485, -0.69700,  0.32593,  1.21584
3, -0.71970,  0.30034,  1.23585, -0.69357,  0.36296,  1.21641
4, -0.72094,  0.35154,  1.25862, -0.69046,  0.45926,  1.21699
5, -0.71548,  0.36860,  1.24094, -0.68710,  0.50370,  1.21741
6, -0.71215,  0.40614,  1.21825, -0.68363,  0.54815,  1.21788
7, -0.71306,  0.41638,  1.24924, -0.68042,  0.56296,  1.21844
8, -0.70815,  0.46416,  1.29662, -0.67677,  0.59259,  1.21880
9, -0.70542,  0.47782,  1.29877, -0.67367,  0.63704,  1.21908
10, -0.70041,  0.49829,  1.26608, -0.66983,  0.65926,  1.21927
11, -0.69927,  0.52901,  1.29109, -0.66831,  0.67407,  1.21940
12, -0.69819,  0.56655,  1.28146, -0.66656,  0.68148,  1.21939
13, -0.70186,  0.56655,  1.29824, -0.66489,  0.68889,  1.21940
14, -0.69456,  0.53242,  1.25824, -0.66319,  0.70370,  1.21939
15, -0.69577,  0.55290,  1.32250, -0.66148,  0.72593,  1.21940
16, -0.69392,  0.59727,  1.25830, -0.65991,  0.73333,  1.21942
17, -0.69493,  0.61775,  1.25648, -0.65801,  0.76296,  1.21941
18, -0.69069,  0.59386,  1.22546, -0.65640,  0.76296,  1.21939
19, -0.68709,  0.59727,  1.23205, -0.65444,  0.76296,  1.21936
20, -0.69450,  0.60751,  1.25310, -0.65292,  0.76296,  1.21942
21, -0.68858,  0.61775,  1.32076, -0.65195,  0.76296,  1.21941
22, -0.68484,  0.68601,  1.28182, -0.65101,  0.76296,  1.21940
23, -0.68639,  0.66212,  1.26336, -0.65019,  0.76296,  1.21937
24, -0.68628,  0.62457,  1.25547, -0.64950,  0.75556,  1.21934
25, -0.68562,  0.64505,  1.26649, -0.64859,  0.75556,  1.21933
26, -0.68199,  0.65870,  1.27133, -0.64762,  0.75556,  1.21932
27, -0.68585,  0.64164,  1.23318, -0.64692,  0.75556,  1.21928
28, -0.68215,  0.63481,  1.30168, -0.64596,  0.75556,  1.21919
29, -0.67950,  0.67918,  1.31334, -0.64505,  0.75556,  1.21911
30, -0.67950,  0.64164,  1.28590, -0.64407,  0.75556,  1.21904
31, -0.67915,  0.66553,  1.28932, -0.64354,  0.75556,  1.21901
32, -0.67695,  0.66553,  1.23591, -0.64325,  0.75556,  1.21900
33, -0.67926,  0.64505,  1.22993, -0.64299,  0.75556,  1.21896
34, -0.68153,  0.64164,  1.23377, -0.64263,  0.75556,  1.21894
35, -0.67996,  0.65529,  1.24478, -0.64209,  0.75556,  1.21891
36, -0.67937,  0.66894,  1.26945, -0.64182,  0.75556,  1.21888
37, -0.68025,  0.63481,  1.27765, -0.64122,  0.75556,  1.21888
38, -0.68143,  0.65529,  1.26192, -0.64090,  0.75556,  1.21889
39, -0.67530,  0.67235,  1.26569, -0.64015,  0.75556,  1.21886
40, -0.67804,  0.64846,  1.24972, -0.63998,  0.75556,  1.21882
41, -0.67864,  0.66553,  1.26949, -0.63961,  0.75556,  1.21881
42, -0.67618,  0.65529,  1.27496, -0.63940,  0.75556,  1.21880
43, -0.67627,  0.68601,  1.26825, -0.63909,  0.75556,  1.21878
44, -0.67568,  0.63481,  1.27106, -0.63900,  0.75556,  1.21877
45, -0.67600,  0.69966,  1.30448, -0.63875,  0.75556,  1.21876
46, -0.67721,  0.67577,  1.22070, -0.63842,  0.75556,  1.21875
47, -0.67701,  0.66212,  1.27210, -0.63840,  0.75556,  1.21874
48, -0.67568,  0.67577,  1.30214, -0.63803,  0.75556,  1.21873
49, -0.67421,  0.69966,  1.28321, -0.63798,  0.76296,  1.21872
50, -0.67589,  0.67577,  1.28905, -0.63767,  0.76296,  1.21870

Mean validation ll: -0.65490, Mean validation accuracy:  0.69822, Mean validation RMSE:  1.21878
