Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.58740,  0.69283,  1.55633, -0.44100,  0.78519,  1.56099
2, -0.43124,  0.72696,  1.47608, -0.36375,  0.78519,  1.29648
3, -0.38038,  0.72696,  1.31303, -0.33357,  0.78519,  1.24094
4, -0.34428,  0.73720,  1.29842, -0.30962,  0.78519,  1.20934
5, -0.31298,  0.74744,  1.16392, -0.29168,  0.79259,  1.19113
6, -0.25999,  0.75427,  1.10873, -0.28058,  0.76296,  1.16914
7, -0.21458,  0.76792,  1.18905, -0.24009,  0.78519,  1.15971
8, -0.14637,  0.78840,  1.09210, -0.21643,  0.72593,  1.16330
9, -0.10049,  0.76792,  1.11248, -0.23535,  0.76296,  1.16851
10, -0.06351,  0.80546,  1.09975, -0.21801,  0.76296,  1.15384
11, -0.00209,  0.81229,  1.11837, -0.21400,  0.76296,  1.14075
12,  0.02060,  0.84300,  1.14529, -0.17319,  0.73333,  1.14270
13,  0.06266,  0.86689,  1.09553, -0.13712,  0.76296,  1.13588
14,  0.08026,  0.87713,  1.06001, -0.12328,  0.74815,  1.11406
15,  0.10052,  0.87713,  1.08976, -0.12071,  0.72593,  1.11922
16,  0.12378,  0.88396,  1.10028, -0.13986,  0.74815,  1.11336
17,  0.13542,  0.88396,  1.11373, -0.15482,  0.75556,  1.12282
18,  0.15348,  0.85666,  1.13858, -0.14476,  0.68148,  1.11533
19,  0.17866,  0.88737,  1.10018, -0.10922,  0.73333,  1.10376
20,  0.18324,  0.91126,  1.10031, -0.15700,  0.74074,  1.11331

Mean validation ll: -0.22020, Mean validation accuracy:  0.75630, Mean validation RMSE:  1.17673
