Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.58969,  0.69283,  1.27756, -0.44706,  0.78519,  1.20016
2, -0.43899,  0.72696,  1.28696, -0.36725,  0.78519,  1.22013
3, -0.37454,  0.73379,  1.25238, -0.34122,  0.76296,  1.20018
4, -0.33223,  0.74403,  1.28221, -0.31541,  0.77037,  1.19817
5, -0.28757,  0.75427,  1.12007, -0.30001,  0.75556,  1.21936
6, -0.23649,  0.78157,  1.18869, -0.28148,  0.77037,  1.15726
7, -0.17510,  0.76792,  1.15864, -0.25639,  0.71852,  1.15118
8, -0.11037,  0.79181,  1.11416, -0.22751,  0.71852,  1.14357
9, -0.06629,  0.79863,  1.16587, -0.17978,  0.71852,  1.09398
10, -0.01098,  0.82594,  1.12009, -0.20089,  0.70370,  1.15776
11,  0.02643,  0.84300,  1.09886, -0.19214,  0.68148,  1.09565
12,  0.06393,  0.86348,  1.10068, -0.17946,  0.65926,  1.09871
13,  0.09368,  0.86689,  1.10775, -0.12622,  0.68889,  1.10491
14,  0.11162,  0.87031,  1.10537, -0.11295,  0.63704,  1.09339
15,  0.12835,  0.89420,  1.08127, -0.09962,  0.66667,  1.09872
16,  0.15608,  0.88737,  1.09866, -0.10290,  0.65926,  1.08639
17,  0.17941,  0.87713,  1.12081, -0.13672,  0.64444,  1.09841
18,  0.19579,  0.90785,  1.14869, -0.08917,  0.64444,  1.09945
19,  0.21554,  0.91126,  1.07241, -0.10721,  0.67407,  1.10542
20,  0.23150,  0.90785,  1.12219, -0.10151,  0.65926,  1.10829

Mean validation ll: -0.20824, Mean validation accuracy:  0.70519, Mean validation RMSE:  1.13655
