Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.58738,  0.70307,  1.22998, -0.45207,  0.78519,  1.21335
2, -0.44412,  0.72696,  1.21964, -0.35720,  0.78519,  1.21329
3, -0.37737,  0.72696,  1.23600, -0.33173,  0.78519,  1.18814
4, -0.33826,  0.72696,  1.24713, -0.31022,  0.78519,  1.19695
5, -0.29472,  0.74403,  1.17689, -0.29278,  0.78519,  1.16711
6, -0.25130,  0.75085,  1.18224, -0.27411,  0.77778,  1.15873
7, -0.21426,  0.76792,  1.16974, -0.25260,  0.77037,  1.14165
8, -0.14515,  0.77133,  1.16132, -0.22846,  0.71111,  1.11488
9, -0.09830,  0.80887,  1.17541, -0.21966,  0.71111,  1.11438
10, -0.04443,  0.81570,  1.09486, -0.15445,  0.73333,  1.09317
11, -0.00243,  0.82935,  1.08166, -0.14784,  0.73333,  1.08401
12,  0.02857,  0.86007,  1.15377, -0.15234,  0.65926,  1.08508
13,  0.04835,  0.87713,  1.10861, -0.14850,  0.68889,  1.09168
14,  0.07540,  0.87713,  1.10549, -0.12875,  0.65185,  1.09619
15,  0.10130,  0.87713,  1.12957, -0.10214,  0.67407,  1.08319
16,  0.12703,  0.88396,  1.14165, -0.09136,  0.67407,  1.07518
17,  0.15051,  0.87713,  1.05679, -0.14386,  0.66667,  1.08466
18,  0.15045,  0.87713,  1.10605, -0.17844,  0.65185,  1.09675
19,  0.17211,  0.87713,  1.06123, -0.13666,  0.68148,  1.07334
20,  0.19091,  0.87713,  1.10481, -0.08192,  0.66667,  1.07658

Mean validation ll: -0.20925, Mean validation accuracy:  0.71889, Mean validation RMSE:  1.12242
