Epoch, Log-likelihood, Accuracy, RMSE
1,  0.20674,  0.50071,  0.76715
2,  0.46357,  0.50071,  0.74837
3,  0.55571,  0.50071,  0.74984
4,  0.58678,  0.50071,  0.75256
5,  0.60194,  0.50071,  0.75088
6,  0.60679,  0.50212,  0.75300
7,  0.61167,  0.47250,  0.75062
8,  0.61444,  0.45980,  0.76025
9,  0.61747,  0.47109,  0.75403
10,  0.62148,  0.44429,  0.75933
11,  0.61922,  0.43583,  0.75941
12,  0.61969,  0.43865,  0.75526
13,  0.62087,  0.43441,  0.75431
14,  0.61949,  0.42595,  0.75193
15,  0.62141,  0.44993,  0.75458
16,  0.62734,  0.45134,  0.75369
17,  0.62912,  0.46121,  0.75270
18,  0.62530,  0.46262,  0.75508
19,  0.62382,  0.43865,  0.75411
20,  0.62467,  0.43159,  0.75867
