Epoch, Log-likelihood, Accuracy, RMSE
1,  0.16604,  0.48801,  0.93805
2,  0.45901,  0.50071,  0.74921
3,  0.55357,  0.50071,  0.74674
4,  0.58474,  0.50071,  0.74900
5,  0.59964,  0.50071,  0.75252
6,  0.60491,  0.47814,  0.75046
7,  0.60706,  0.47532,  0.75983
8,  0.60635,  0.48237,  0.75135
9,  0.61505,  0.42736,  0.75749
10,  0.61242,  0.44288,  0.76452
11,  0.61831,  0.46121,  0.75665
12,  0.61245,  0.47250,  0.75260
13,  0.61231,  0.47955,  0.75619
14,  0.61419,  0.44570,  0.75546
15,  0.61281,  0.45416,  0.75648
16,  0.61339,  0.45698,  0.75761
17,  0.61151,  0.45839,  0.75813
18,  0.61198,  0.45134,  0.76199
19,  0.61274,  0.44993,  0.76637
20,  0.60647,  0.46121,  0.76537
