Epoch, Log-likelihood, Accuracy, RMSE
1, -0.18572,  0.75000,  1.26890
2, -0.11050,  0.77326,  1.28054
3,  0.04883,  0.77907,  1.26205
4,  0.11608,  0.79651,  1.24493
5,  0.25768,  0.82558,  1.20323
6,  0.33198,  0.83140,  1.21184
7,  0.37236,  0.80814,  1.21004
8,  0.44315,  0.82558,  1.23323
9,  0.46236,  0.81977,  1.21617
10,  0.51423,  0.79651,  1.22113
11,  0.57871,  0.83140,  1.23665
12,  0.59064,  0.83140,  1.23266
13,  0.60128,  0.82558,  1.21104
14,  0.61034,  0.83140,  1.22069
15,  0.62667,  0.81977,  1.21750
16,  0.65524,  0.81977,  1.21477
17,  0.68397,  0.82558,  1.20954
18,  0.69057,  0.83140,  1.20934
19,  0.70565,  0.82558,  1.21688
20,  0.68600,  0.83140,  1.22745
