Epoch, Log-likelihood, Accuracy, RMSE
1,  0.18598,  0.50071,  0.74482
2,  0.43026,  0.50071,  0.74874
3,  0.53210,  0.50071,  0.74924
4,  0.57286,  0.50071,  0.75048
5,  0.59313,  0.50071,  0.74950
6,  0.60330,  0.50071,  0.74867
7,  0.60820,  0.41326,  0.74703
8,  0.60999,  0.50071,  0.74522
9,  0.61365,  0.50071,  0.74382
10,  0.61508,  0.50071,  0.74536
11,  0.61663,  0.50071,  0.74284
12,  0.61808,  0.50071,  0.74283
13,  0.62079,  0.50071,  0.74218
14,  0.62399,  0.50071,  0.73920
15,  0.62804,  0.50071,  0.74003
16,  0.63034,  0.50071,  0.73822
17,  0.63649,  0.50071,  0.72032
18,  0.64305,  0.47814,  0.71639
19,  0.64985,  0.50071,  0.72706
20,  0.65638,  0.49365,  0.73127
