Epoch, Log-likelihood, Accuracy, RMSE
1, -0.37966,  0.78519,  1.18325
2, -0.32425,  0.78519,  1.18071
3, -0.23324,  0.78519,  1.14021
4, -0.14205,  0.78519,  1.07928
5, -0.08309,  0.78519,  1.08192
6, -0.00655,  0.78519,  1.05331
7,  0.04578,  0.78519,  1.07760
8,  0.08120,  0.78519,  1.06264
9,  0.12295,  0.78519,  1.05062
10,  0.16737,  0.78519,  1.07095
11,  0.19484,  0.78519,  1.03594
12,  0.21572,  0.78519,  1.03357
13,  0.23276,  0.78519,  1.04605
14,  0.25161,  0.78519,  1.03148
15,  0.27503,  0.78519,  1.02525
16,  0.27323,  0.78519,  1.03758
17,  0.30480,  0.78519,  1.03414
18,  0.32215,  0.78519,  1.02336
19,  0.33293,  0.78519,  1.02940
20,  0.34262,  0.78519,  1.02372
