Epoch, Log-likelihood, Accuracy, RMSE
1,  0.13856,  0.50212,  0.79524
2,  0.42361,  0.46262,  0.76172
3,  0.53890,  0.47814,  0.75271
4,  0.57551,  0.50071,  0.75130
5,  0.59539,  0.45839,  0.75014
6,  0.60359,  0.44006,  0.75061
7,  0.60702,  0.50071,  0.75591
8,  0.61153,  0.50071,  0.75357
9,  0.61232,  0.46968,  0.75416
10,  0.61746,  0.45698,  0.75668
11,  0.61358,  0.44711,  0.75887
12,  0.61711,  0.44147,  0.75525
13,  0.60843,  0.42736,  0.75295
14,  0.61129,  0.46403,  0.75538
15,  0.59762,  0.45839,  0.75695
16,  0.59341,  0.42595,  0.75523
17,  0.61524,  0.44852,  0.75319
18,  0.61034,  0.42595,  0.74847
19,  0.59633,  0.40339,  0.76198
20,  0.59930,  0.36671,  0.75663
