Epoch, Log-likelihood, Accuracy, RMSE
1,  0.26594,  0.50071,  0.79824
2,  0.46995,  0.50071,  0.75306
3,  0.55144,  0.49365,  0.75302
4,  0.57789,  0.48942,  0.76661
5,  0.59776,  0.48942,  0.74889
6,  0.60319,  0.43583,  0.75349
7,  0.61073,  0.46968,  0.74792
8,  0.61351,  0.39633,  0.75674
9,  0.61423,  0.43300,  0.75979
10,  0.60576,  0.45557,  0.75410
11,  0.61787,  0.41608,  0.74575
12,  0.58701,  0.39492,  0.74911
13,  0.59431,  0.38505,  0.74553
14,  0.59994,  0.41326,  0.75034
15,  0.59679,  0.41326,  0.75191
16,  0.58818,  0.41890,  0.75382
17,  0.59170,  0.40762,  0.75071
18,  0.58742,  0.41326,  0.75447
19,  0.58463,  0.42172,  0.75193
20,  0.57791,  0.40339,  0.75176
